t,u
-0.263375,-0.010717
-0.26325,-0.010717
-0.263125,-0.010717
-0.263,-0.00706855
-0.262875,-0.010717
-0.26275,-0.010717
-0.262625,-0.010717
-0.2625,-0.010717
-0.262375,-0.010717
-0.26225,-0.010717
-0.262125,-0.010717
-0.262,-0.010717
-0.261875,-0.010717
-0.26175,-0.010717
-0.261625,-0.010717
-0.2615,-0.010717
-0.261375,-0.010717
-0.26125,-0.010717
-0.261125,-0.010717
-0.261,-0.010717
-0.260875,-0.010717
-0.26075,-0.010717
-0.260625,-0.010717
-0.2605,-0.00706855
-0.260375,-0.00706855
-0.26025,-0.00706855
-0.260125,-0.00706855
-0.26,-0.00706855
-0.259875,-0.010717
-0.25975,-0.010717
-0.259625,-0.010717
-0.2595,-0.010717
-0.259375,-0.010717
-0.25925,-0.010717
-0.259125,-0.010717
-0.259,-0.010717
-0.258875,-0.010717
-0.25875,-0.00706855
-0.258625,-0.00706855
-0.2585,-0.010717
-0.258375,-0.010717
-0.25825,-0.00706855
-0.258125,-0.010717
-0.258,-0.00706855
-0.257875,-0.00706855
-0.25775,-0.010717
-0.257625,-0.010717
-0.2575,-0.010717
-0.257375,-0.00706855
-0.25725,-0.00706855
-0.257125,-0.00706855
-0.257,-0.00706855
-0.256875,-0.010717
-0.25675,-0.00706855
-0.256625,-0.010717
-0.2565,-0.010717
-0.256375,-0.010717
-0.25625,-0.010717
-0.256125,-0.010717
-0.256,-0.010717
-0.255875,-0.010717
-0.25575,-0.010717
-0.255625,-0.010717
-0.2555,-0.010717
-0.255375,-0.010717
-0.25525,-0.010717
-0.255125,-0.00706855
-0.255,-0.010717
-0.254875,-0.00706855
-0.25475,-0.00706855
-0.254625,-0.00706855
-0.2545,-0.010717
-0.254375,-0.010717
-0.25425,-0.00706855
-0.254125,-0.010717
-0.254,-0.010717
-0.253875,-0.010717
-0.25375,-0.010717
-0.253625,-0.010717
-0.2535,-0.010717
-0.253375,-0.00706855
-0.25325,-0.010717
-0.253125,-0.010717
-0.253,-0.010717
-0.252875,-0.010717
-0.25275,-0.00706855
-0.252625,-0.00706855
-0.2525,-0.00706855
-0.252375,-0.00706855
-0.25225,-0.00706855
-0.252125,-0.00706855
-0.252,-0.00706855
