time,trig,echo
0.00168262,-0.0167751,4.81058
0.00168514,-0.0204544,4.81058
0.00168766,-0.0204544,4.8143
0.00169018,-0.0167751,4.80686
0.0016927,-0.0204544,4.80686
0.00169522,-0.0167751,4.80686
0.00169774,-0.0167751,4.80686
0.00170026,-0.0167751,4.81058
0.00170278,-0.0167751,4.80686
0.0017053,-0.0167751,4.81058
0.00170782,-0.0241336,4.81058
0.00171034,-0.0204544,4.80314
0.00171286,-0.0167751,4.81058
0.00171538,-0.0167751,4.81058
0.0017179,-0.0241336,4.80686
0.00172042,-0.0241336,4.80314
0.00172294,-0.0241336,4.80686
0.00172546,-0.0204544,4.81058
0.00172798,-0.0204544,4.80686
0.0017305,-0.0204544,4.81058
0.00173302,-0.0204544,4.81058
0.00173554,-0.0241336,4.81058
0.00173806,-0.0204544,4.81058
0.00174058,-0.0204544,4.80314
0.0017431,-0.0204544,4.80686
0.00174562,-0.0204544,4.81058
0.00174814,-0.0167751,4.8143
0.00175066,-0.0241336,4.8143
0.00175318,-0.0204544,4.81058
0.0017557,-0.0241336,4.81802
0.00175822,-0.0167751,4.81058
0.00176074,-0.0167751,4.81058
0.00176326,-0.0167751,4.80686
0.00176578,-0.0241336,4.81058
0.0017683,-0.0241336,4.80686
0.00177082,-0.0204544,4.81058
0.00177334,-0.0167751,4.80686
0.00177586,-0.0204544,4.81058
0.00177838,-0.0204544,4.81058
0.0017809,-0.0204544,4.81058
0.00178342,-0.0204544,4.81058
0.00178594,-0.0241336,4.80686
0.00178846,-0.0241336,4.80686
0.00179098,-0.0241336,4.81058
0.0017935,-0.0204544,4.80686
0.00179602,-0.0241336,4.81058
0.00179854,-0.0204544,4.8143
0.00180106,-0.0130959,4.80314
0.00180358,-0.0204544,4.81058
0.0018061,-0.0204544,4.80314
0.00180862,-0.0167751,4.81058
0.00181114,-0.0167751,4.81058
0.00181366,-0.0204544,4.81058
0.00181618,-0.0204544,4.8143
0.0018187,-0.0204544,4.81058
0.00182122,-0.0204544,4.80686
0.00182374,-0.0278129,4.81058
0.00182626,-0.0204544,4.81058
0.00182878,-0.0167751,4.81058
0.0018313,-0.0167751,4.81058
0.00183382,-0.0204544,4.80686
0.00183634,-0.0241336,4.81058
0.00183886,-0.0204544,4.80314
0.00184138,-0.0241336,4.80686
0.0018439,-0.0241336,4.80686
0.00184642,-0.0204544,4.8143
0.00184894,-0.0167751,4.81058
0.00185146,-0.0204544,4.80686
0.00185398,-0.0241336,4.81058
0.0018565,-0.0204544,4.8143
