time,echo,trig
0.00023384,-0.00435283,-0.0076284
0.00023532,-0.00485737,-0.0071228
0.0002368,-0.00435283,-0.00678432
0.00023828,-0.00401786,-0.00711857
0.00023976,-0.00451822,-0.00728992
0.00024124,-0.00468779,-0.0071228
0.00024272,-0.00417908,-0.0076284
0.0002442,-0.00402204,-0.0071228
0.00024568,-0.00434865,-0.00661297
0.00024716,-0.00469197,-0.00678432
0.00024864,-0.00417908,-0.00728992
0.00025012,-0.0045224,-0.0079711
0.0002516,-0.00435283,-0.00728992
0.00025308,-0.00485319,-0.00746127
0.00025456,-0.00468362,-0.0076284
0.00025604,-0.00485737,-0.00746127
0.00025752,-0.00468362,-0.00728992
0.000259,-0.00485737,-0.00745705
0.00026048,-0.00451822,-0.00711857
0.00026196,-0.00485737,-0.00728992
0.00026344,0.00023398,-0.0067801
0.00026492,-0.00670595,-0.0076284
0.0002664,-0.00435283,-0.00661297
0.00026788,-0.00301296,-0.00695145
0.00026936,-0.00535355,-0.00728992
0.00027084,-0.00318253,-0.00746127
0.00027232,-0.00485319,-0.0076284
0.0002738,-0.00318253,-0.00745705
0.00027528,0.00769516,-0.0072857
0.00027676,-0.00522158,-0.00796688
0.00027824,-0.00367454,-0.00644584
0.00027972,-0.000837771,-0.0067801
0.0002812,-0.00518398,-0.0072857
0.00028268,-0.000672377,-0.00695145
0.00028416,-0.00602348,-0.00745705
0.00028564,-0.00150352,-0.0067801
0.00028712,-0.00703674,-0.0071228
0.0002886,0.0102078,-0.00744861
0.00029008,-0.00550223,-0.00711435
0.00029156,-0.00469197,-0.00695145
0.00029304,-0.00166892,-0.00711857
0.00029452,-0.00485319,-0.00728992
0.000296,-0.00217346,-0.00695145
0.00029748,-0.00485737,-0.0067801
0.00029896,-0.00250425,-0.00745705
0.00030044,0.0200621,-0.00593601
0.00030192,-0.00736752,-0.00762418
0.0003034,-0.00183013,-0.00746127
0.00030488,-0.00101988,-0.00746127
0.00030636,-0.00232632,-0.00728992
0.00030784,-0.000846127,-0.0076284
0.00030932,-0.00383993,-0.00729415
0.0003108,-0.000846127,-0.00695145
0.00031228,-0.00602348,-0.0067801
0.00031376,0.000952315,-0.00763684
0.00031524,-0.00183431,-0.0067801
0.00031672,-0.00367036,-0.00779553
0.0003182,-0.00152024,-0.00779975
0.00031968,-0.00283921,-0.00695145
0.00032116,-0.00201642,-0.00745705
0.00032264,-0.00417908,-0.0071228
0.00032412,-0.00269053,-0.00745705
0.0003256,0.00747371,-0.00678854
0.00032708,-0.00535355,-0.00746127
0.00032856,0.00253278,-0.00711857
0.00033004,-0.00286428,-0.00746127
0.00033152,0.00252443,-0.00695145
0.000333,-0.00252932,-0.00796688
0.00033448,-0.000146947,-0.00711435
0.00033596,-0.00320343,-0.0076284
0.00033744,0.000242337,-0.00917477
0.00033892,-0.00604019,-0.00796688
0.0003404,-0.00151188,-0.00712702
0.00034188,-0.000655664,-0.0071228
0.00034336,-0.00251678,-0.00729415
0.00034484,-0.000333232,-0.0071228
0.00034632,-0.00301714,-0.00779975
0.0003478,-0.00300878,-0.00678432
0.00034928,0.00904338,-0.0067801
0.00035076,-0.00237228,-0.00796688
0.00035224,-0.00266128,-0.00695567
0.00035372,0.00501787,-0.00695145
0.0003552,-0.00283921,-0.00779553
0.00035668,0.00502205,-0.00728992
0.00035816,-0.0035175,-0.00779975
0.00035964,0.00234232,-0.0076284
0.00036112,-0.00654055,-0.00779553
0.0003626,0.010369,-0.00744861
0.00036408,-0.0038274,-0.00779131
0.00036556,-0.00302132,-0.00745705
0.00036704,0.00117203,-0.0071228
0.00036852,-0.00301714,-0.00746127
0.00037,0.000506273,-0.00695145
0.00037148,-0.00335628,-0.00728992
0.00037296,-0.00217346,-0.00661297
0.00037444,0.0187222,-0.00627871
0.00037592,-0.00451822,-0.00745705
0.0003774,0.00102335,-0.00695145
0.00037888,0.00333468,-0.00712702
0.00038036,0.00219364,-0.0072857
0.00038184,0.00417001,-0.00711857
0.00038332,-0.00183431,-0.00745705
0.0003848,0.00166403,-0.00695145
0.00038628,-0.00636262,-0.00728992
0.00038776,0.00112189,-0.00763684
0.00038924,-0.000324876,-0.00728992
0.00039072,-0.00149517,-0.00695145
0.0003922,0.00116367,-0.00728992
0.00039368,-0.000324876,-0.00728992
0.00039516,-6.62248e-06,-0.00661297
0.00039664,-0.00250842,-0.0067801
0.00039812,-0.00268635,-0.00678432
0.0003996,0.00698589,-0.00678854
0.00040108,-0.00250425,-0.00728992
0.00040256,0.00604784,-0.00728992
0.00040404,0.00133324,-0.00711857
0.00040552,0.00688317,-0.00695145
0.000407,0.00165985,-0.0076284
0.00040848,0.00185867,-0.00627449
0.00040996,-0.00236392,-0.0076284
0.00041144,0.000420266,-0.00883629
0.00041292,-0.00486572,-0.00779553
0.0004144,0.000328344,-0.00695567
0.00041588,0.00134996,-0.00695145
0.00041736,0.00016295,-0.0076284
0.00041884,0.00134578,-0.00695145
0.00042032,-0.00101152,-0.00745705
0.0004218,-0.00283921,-0.0072857
0.00042328,0.0107307,-0.00609892
0.00042476,-0.000858662,-0.00745705
0.00042624,-0.000151125,-0.00661297
0.00042772,0.00770596,-0.00661297
0.0004292,0.00134578,-0.00695145
0.00043068,0.00786717,-0.0071228
0.00043216,-0.000502804,-0.00728992
0.00043364,0.00401715,-0.00695145
0.00043512,-0.00570105,-0.00796688
0.0004366,0.010526,-0.00627449
0.00043808,-0.00299207,-0.00762418
0.00043956,-0.000837771,-0.00779553
0.00044104,0.00285104,-0.00746127
0.00044252,-0.00033741,-0.0076284
0.000444,0.00267729,-0.00695145
0.00044548,-0.00185103,-0.00729415
0.00044696,-0.00133813,-0.00746127
0.00044844,0.0177132,-0.00627871
0.00044992,-0.00300878,-0.00762418
0.0004514,0.00319854,-0.0071228
0.00045288,0.00685392,-0.00678432
0.00045436,0.00537791,-0.00644162
0.00045584,0.00718888,-0.0071228
0.00045732,0.00101499,-0.00695145
0.0004588,0.00266475,-0.00695145
0.00046028,-0.00685045,-0.00746127
0.00046176,-0.00452658,-0.00695145
0.00046324,4.91274,-0.00796266
0.00046472,4.89265,-0.0067801
0.0004662,4.8818,-0.00678432
0.00046768,4.88079,-0.00695145
0.00046916,4.88029,-0.0071228
0.00047064,4.87945,-0.0067801
0.00047212,4.87862,-0.00678432
0.0004736,4.87795,-0.0072857
0.00047508,4.87594,-0.00695145
0.00047656,4.87527,-0.00678432
0.00047804,4.87427,-0.0071228
0.00047952,4.87476,-0.00661297
0.000481,4.8746,-0.00644584
0.00048248,4.87477,-0.00695145
0.00048396,4.8741,-0.00746127
0.00048544,4.8741,-0.00711857
0.00048692,4.87527,-0.0071228
0.0004884,4.87527,-0.0071228
0.00048988,4.87628,-0.0067801
0.00049136,4.87644,-0.0072857
0.00049284,4.8761,-0.00695567
0.00049432,4.87661,-0.00695567
0.0004958,4.87544,-0.00711857
0.00049728,4.8756,-0.00661297
0.00049876,4.8741,-0.0067801
0.00050024,4.87426,-0.00729415
0.00050172,4.87376,-0.00728992
0.0005032,4.8736,-0.00695145
0.00050468,4.87309,-0.0067801
0.00050616,4.87376,-0.0071228
0.00050764,4.87343,-0.0076284
0.00050912,4.87359,-0.0071228
0.0005106,4.87343,-0.00661297
0.00051208,4.87443,-0.00746127
0.00051356,4.8746,-0.00695145
0.00051504,4.8751,-0.00711857
0.00051652,4.87611,-0.00695145
0.000518,4.87678,-0.00661297
0.00051948,4.87611,-0.00728992
0.00052096,4.87594,-0.00728992
0.00052244,4.8756,-0.00695145
0.00052392,4.8756,-0.00661297
0.0005254,4.87527,-0.00711857
0.00052688,4.87493,-0.00661297
0.00052836,4.8741,-0.0071228
0.00052984,4.87443,-0.00661297
0.00053132,4.87376,-0.0071228
0.0005328,4.87359,-0.0072857
0.00053428,4.87276,-0.00746127
0.00053576,4.87376,-0.0067801
0.00053724,4.87494,-0.00678432
0.00053872,4.87543,-0.00728992
0.0005402,4.87544,-0.00745705
0.00054168,4.8751,-0.00711857
0.00054316,4.8751,-0.0071228
0.00054464,4.8746,-0.00695145
0.00054612,4.87393,-0.00711857
0.0005476,4.87527,-0.0067801
0.00054908,4.87577,-0.00644584
0.00055056,4.8761,-0.00661297
0.00055204,4.87577,-0.0067801
0.00055352,4.8756,-0.0071228
0.000555,4.8751,-0.00695145
0.00055648,4.87493,-0.0067801
0.00055796,4.87427,-0.00695145
0.00055944,4.87427,-0.0072857
0.00056092,4.87376,-0.0072857
0.0005624,4.87343,-0.00678432
0.00056388,4.87276,-0.0076284
0.00056536,4.87309,-0.00728992
0.00056684,4.87293,-0.00695567
0.00056832,4.87343,-0.00711857
0.0005698,4.87427,-0.00729415
0.00057128,4.87459,-0.00695145
0.00057276,4.8746,-0.0071228
0.00057424,4.87493,-0.00746127
0.00057572,4.8746,-0.00695145
0.0005772,4.87393,-0.00728992
0.00057868,4.8741,-0.00729415
0.00058016,4.87376,-0.00695145
0.00058164,4.87343,-0.00711857
0.00058312,4.87376,-0.00695145
0.0005846,4.87376,-0.00695145
0.00058608,4.87443,-0.00695145
0.00058756,4.87527,-0.0071228
0.00058904,4.87627,-0.00745705
0.00059052,4.87544,-0.00660875
0.000592,4.87644,-0.00661297
0.00059348,4.8756,-0.00728992
0.00059496,4.87577,-0.0071228
0.00059644,4.87527,-0.00695145
0.00059792,4.87527,-0.0067801
0.0005994,4.87644,-0.00695145
0.00060088,4.87711,-0.00729415
0.00060236,4.87728,-0.00728992
0.00060384,4.87677,-0.00711857
0.00060532,4.87694,-0.0071228
0.0006068,4.8761,-0.00745705
0.00060828,4.8756,-0.0076284
0.00060976,4.8756,-0.00728992
0.00061124,4.87477,-0.00728992
0.00061272,4.87577,-0.0076284
0.0006142,4.87527,-0.00728992
0.00061568,4.87544,-0.00678432
0.00061716,4.87544,-0.00763262
0.00061864,4.87594,-0.0071228
0.00062012,4.87527,-0.00745705
0.0006216,4.87527,-0.0067801
0.00062308,4.87611,-0.0071228
0.00062456,4.87561,-0.00746127
0.00062604,4.87594,-0.0071228
0.00062752,4.87493,-0.0071228
0.000629,4.87477,-0.0072857
0.00063048,4.87477,-0.00711857
0.00063196,4.8746,-0.0076284
0.00063344,4.8741,-0.00745705
0.00063492,4.87427,-0.00695145
0.0006364,4.87443,-0.0071228
0.00063788,4.8746,-0.00694722
0.00063936,4.87443,-0.00644162
0.00064084,4.87376,-0.00694722
0.00064232,4.87342,-0.00728992
0.0006438,4.87309,-0.00711857
0.00064528,4.87292,-0.00728992
0.00064676,4.87159,-0.00728992
0.00064824,4.87125,-0.00728992
0.00064972,4.87125,-0.0076284
0.0006512,4.87158,-0.0071228
0.00065268,4.87209,-0.00695145
0.00065416,4.87259,-0.00695145
0.00065564,4.87259,-0.00746127
0.00065712,4.87359,-0.00695145
0.0006586,4.87276,-0.00678432
0.00066008,4.87242,-0.0067801
0.00066156,4.87242,-0.00694722
0.00066304,4.87242,-0.00678432
0.00066452,4.87293,-0.00728992
0.000666,4.87343,-0.00694722
0.00066748,4.8741,-0.0071228
0.00066896,4.87494,-0.00746127
0.00067044,4.87393,-0.0071228
0.00067192,4.87443,-0.0071228
0.0006734,4.87393,-0.00678432
0.00067488,4.8746,-0.0067801
0.00067636,4.8746,-0.00661297
0.00067784,4.8736,-0.0071228
0.00067932,4.87376,-0.0071228
0.0006808,4.87393,-0.00728992
0.00068228,4.87393,-0.00695145
0.00068376,4.87443,-0.00745705
0.00068524,4.87577,-0.00746127
0.00068672,4.87544,-0.00779975
0.0006882,4.87627,-0.0076284
0.00068968,4.87527,-0.00728992
0.00069116,4.87527,-0.0071228
0.00069264,4.87443,-0.00728992
0.00069412,4.87427,-0.00661297
0.0006956,4.87376,-0.0071228
0.00069708,4.87342,-0.00728992
0.00069856,4.87326,-0.00763262
0.00070004,4.87293,-0.00745705
0.00070152,4.87292,-0.00796688
0.000703,4.87276,-0.0076284
0.00070448,4.87326,-0.00728992
0.00070596,4.87242,-0.00779553
0.00070744,4.87326,-0.00779553
0.00070892,4.87242,-0.0076284
0.0007104,4.87225,-0.00746127
0.00071188,4.87142,-0.00695567
0.00071336,4.87259,-0.00695567
0.00071484,4.8736,-0.00746127
0.00071632,4.87309,-0.00711857
0.0007178,4.8741,-0.0067801
0.00071928,4.8746,-0.00695145
0.00072076,4.87477,-0.0071228
0.00072224,4.8746,-0.00695145
0.00072372,4.87427,-0.00728992
0.0007252,4.87427,-0.00746127
0.00072668,4.87342,-0.0076284
0.00072816,4.87259,-0.00695145
0.00072964,4.87226,-0.0071228
0.00073112,4.87376,-0.00746127
0.0007326,4.87309,-0.00711857
0.00073408,4.87376,-0.00796688
0.00073556,4.87343,-0.00711857
0.00073704,4.87259,-0.00728992
0.00073852,4.87259,-0.00746127
0.00074,4.87242,-0.0076284
0.00074148,4.87242,-0.00728992
0.00074296,4.87259,-0.00661297
0.00074444,4.87226,-0.00695145
0.00074592,4.87192,-0.00678432
0.0007474,4.87176,-0.00678432
0.00074888,4.87175,-0.00695567
0.00075036,4.87092,-0.00678432
0.00075184,4.87209,-0.0067801
0.00075332,4.87226,-0.0071228
0.0007548,4.87343,-0.00711857
0.00075628,4.87293,-0.00728992
0.00075776,4.8736,-0.00695145
0.00075924,4.87376,-0.00711857
0.00076072,4.8741,-0.0067801
0.0007622,4.8736,-0.00711857
0.00076368,4.87393,-0.0071228
0.00076516,4.87343,-0.00695145
0.00076664,4.8746,-0.00695145
0.00076812,4.87427,-0.0076284
0.0007696,4.87426,-0.00711857
0.00077108,4.8741,-0.0076284
0.00077256,4.87292,-0.00779553
0.00077404,4.87309,-0.0076284
0.00077552,4.87309,-0.00711857
0.000777,4.87276,-0.00661297
0.00077848,4.87309,-0.0067801
0.00077996,4.87242,-0.00695145
0.00078144,4.87226,-0.00695145
0.00078292,4.87376,-0.00746127
0.0007844,4.87393,-0.0067801
0.00078588,4.87376,-0.00695567
0.00078736,4.87443,-0.00711857
0.00078884,4.87376,-0.00678432
0.00079032,4.87393,-0.00763262
0.0007918,4.8741,-0.00728992
0.00079328,4.8746,-0.00729415
0.00079476,4.87393,-0.00745705
0.00079624,4.87309,-0.00745705
0.00079772,4.8741,-0.00746127
0.0007992,4.87376,-0.0067801
0.00080068,4.87477,-0.00678432
0.00080216,4.87527,-0.00661719
0.00080364,4.87577,-0.00745705
0.00080512,4.87577,-0.00796688
0.0008066,4.87611,-0.00695145
0.00080808,4.87494,-0.00745705
0.00080956,4.87393,-0.0076284
0.00081104,4.87359,-0.0072857
